120.29;132
143.838;86
120.29;132
120.29;132
120.29;132
391.809;376
120.467;132
391.809;376
120.29;132
391.809;376
391.809;376
391.809;376
391.809;376
200;274
-nan(ind);132
-nan(ind);132
-nan(ind);132
-nan(ind);132
-nan(ind);132
-nan(ind);132
-nan(ind);132
40;24
40;24
-nan(ind);132
40;24
-nan(ind);132
40;24
-nan(ind);132
640;709
640;709
40;24
-nan(ind);132
640;709
-nan(ind);132
-nan(ind);132
-nan(ind);11141.5
-nan(ind);2374.5
-nan(ind);17978.5
-nan(ind);15485.5
-nan(ind);52293.5
-nan(ind);201
-nan(ind);4627
-nan(ind);23427
-nan(ind);31078
-nan(ind);4389
-nan(ind);125
-nan(ind);9566.5
-nan(ind);5899.5
-nan(ind);1633.5
-nan(ind);7488.5
-nan(ind);8143.5
-nan(ind);11571
-nan(ind);103148
-nan(ind);1585
-nan(ind);2412.5
-nan(ind);41518.5
-nan(ind);14367
-nan(ind);15395.5
-nan(ind);4923.5
-nan(ind);10332.5
-nan(ind);13188.5
-nan(ind);1517
-nan(ind);24431.5
-nan(ind);5245.5
-nan(ind);187
-nan(ind);31400.5
-nan(ind);3411
-nan(ind);12722.5
-nan(ind);24912.5
-nan(ind);5890
-nan(ind);9264
-nan(ind);1391.5
-nan(ind);1914.5
-nan(ind);4055
-nan(ind);11141.5
-nan(ind);2374.5
-nan(ind);17978.5
-nan(ind);15485.5
-nan(ind);52293.5
-nan(ind);201
-nan(ind);4627
-nan(ind);23427
-nan(ind);31078
-nan(ind);4389
-nan(ind);125
-nan(ind);9566.5
-nan(ind);5899.5
-nan(ind);1633.5
-nan(ind);7488.5
-nan(ind);8143.5
-nan(ind);11571
-nan(ind);103148
-nan(ind);1585
-nan(ind);2412.5
-nan(ind);41518.5
-nan(ind);14367
40;24
-nan(ind);132
640;709
40;28
40;23
38.6207;29
38.6207;34
40;24
40;31
40;32
38.6207;28
40;26
40;26
-nan(ind);122
40;42
38.6207;19
40;61
38.6207;38
38.6207;37
-nan(ind);146
38.6207;28
38.6207;39
38.6207;34
38.6207;16
40;32
38.6207;42
38.6207;47
38.6207;43
40;29
40;25
38.6207;31
38.6207;41
40;33
40;55
38.6207;38
40;32
38.6207;41
38.6207;29
38.6207;32
40;27
38.6207;28
38.6207;40
280;265
-nan(ind);136
40;29
38.6207;34
38.6207;33
40;36
38.6207;33
38.6207;35
280;295
-nan(ind);208
40;49
40;51
38.6207;45
-nan(ind);210
40;57
40;52
38.6207;70
38.6207;62
40;63
40;64
40;70
40;79
38.6207;32
38.6207;39
37.8589;24
37.8589;19
37.8589;23
40.7737;23
34.958;28
35.082;33
40.6656;32
40.5761;86
57.5083;72
57.5083;9
87.435;15
87.435;13
87.435;15
97.4286;25
97.4286;28
85.6646;23
88.0808;36
77.3529;28
77.0968;23
65.1546;29
66.2857;34
40.8856;31
32.381;28
40.8856;24
33.5525;23
36.8816;25
37.3542;31
40.7879;56
38.8988;100
56.0563;55
87.435;11
87.435;14
97.4286;25
98.8018;37
87.767;37
77.2308;25
79.0323;24
74.8183;34
66.2857;31
34.2857;36
40.8856;30
36.3786;22
37.398;27
36.8816;26
40.5761;25
37.3542;62
40.7879;82
54.8503;46
75.644;8
87.9016;16
87.6824;28
98.0296;12
99.2463;15
85.8687;38
98.8018;22
